TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,WaistPosition.x,WaistPosition.y,WaistPosition.z,WaistEulerAngles.x,WaistEulerAngles.y,WaistEulerAngles.z,LeftShoePosition.x,LeftShoePosition.y,LeftShoePosition.z,LeftShoeEulerAngles.x,LeftShoeEulerAngles.y,LeftShoeEulerAngles.z,RightShoePosition.x,RightShoePosition.y,RightShoePosition.z,RightShoeEulerAngles.x,RightShoeEulerAngles.y,RightShoeEulerAngles.z,LeftGripPressed,LeftTriggerPressed,LeftFootSliding,LeftFootPressed,RightGripPressed,RightTriggerPressed,RightFootSliding,RightFootPressed
0.02,1,Training,1,Shelves,Shelves,-1.918158,0.478206,-0.3668234,356.2516,270.2444,7.334391,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.3533296,1,Training,1,Shelves,Shelves,-1.918158,0.478206,-0.3668234,356.2516,270.2444,7.334391,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.5199944,1,Training,1,Shelves,Shelves,-1.921792,0.4788606,-0.3667238,356.254,270.3632,7.33456,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000891,0.009801839,-0.7534873,286.9217,323.8609,247.3805,1.257683,0.2366361,-1.759282,316.7334,271.7805,32.23231,False,False,False,False,False,False,False,False
0.6644373,1,Training,1,Shelves,Shelves,-1.922203,0.4787897,-0.3669764,356.258,270.3668,7.329257,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.00088,0.009815391,-0.7534579,286.9566,323.8214,247.4291,1.258232,0.23636,-1.759747,316.7617,271.9522,32.07714,False,False,False,False,False,False,False,False
0.7533252,1,Training,1,Shelves,Shelves,-1.922253,0.4793091,-0.3670154,356.2575,270.3758,7.318636,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000883,0.009806084,-0.7534551,286.937,323.9999,247.2599,1.259158,0.2364865,-1.760148,316.208,270.5756,33.02332,False,False,False,False,False,False,False,False
0.8199911,1,Training,1,Shelves,Shelves,-1.922134,0.4791255,-0.367231,356.2554,270.3741,7.321739,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000875,0.009809322,-0.7534592,286.9471,323.905,247.3379,1.259174,0.2368534,-1.759984,316.2381,270.5367,32.95562,False,False,False,False,False,False,False,False
0.886657,1,Training,1,Shelves,Shelves,-1.922095,0.4790327,-0.3672487,356.2529,270.375,7.325121,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000885,0.009810365,-0.7534537,286.9462,323.8326,247.4145,1.259031,0.2373241,-1.759783,316.2601,270.9808,32.78226,False,False,False,False,False,False,False,False
0.9644339,1,Training,1,Shelves,Shelves,-1.922239,0.4789754,-0.3671841,356.2537,270.3793,7.32225,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000879,0.009795144,-0.7534549,286.9467,324.0117,247.2491,1.258884,0.2376056,-1.759606,316.3985,271.1329,32.6691,False,False,False,False,False,False,False,False
1.042211,1,Training,1,Shelves,Shelves,-1.922198,0.4790538,-0.3673823,356.2578,270.3787,7.320939,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000889,0.009810306,-0.7534681,286.9616,323.9119,247.3474,1.258704,0.2377698,-1.759326,316.515,271.9816,32.11615,False,False,False,False,False,False,False,False
1.086655,1,Training,1,Shelves,Shelves,-1.922015,0.4790336,-0.3675537,356.2586,270.3725,7.328673,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000895,0.009788125,-0.7534754,286.9196,323.8302,247.405,1.258541,0.2379853,-1.758872,316.5641,273.4165,31.09996,False,False,False,False,False,False,False,False
1.153321,1,Training,1,Shelves,Shelves,-1.922409,0.4792644,-0.3676037,356.2582,270.3801,7.318742,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000888,0.009813491,-0.7534854,286.9439,323.8282,247.4238,1.258165,0.2382466,-1.758403,316.9594,274.0623,30.71304,False,False,False,False,False,False,False,False
