TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,TaskboardPosition.x,TaskboardPosition.y,TaskboardPosition.z,TaskboardRotation.x,TaskboardRotation.y,TaskboardRotation.z,Landmark1Name,Landmark2Name,Landmark3Name,Landmark4Name,Landmark5Name,Landmark6Name,Landmark1Position.x,Landmark1Position.y,Landmark1Position.z,Landmark2Position.x,Landmark2Position.y,Landmark2Position.z,Landmark3Position.x,Landmark3Position.y,Landmark3Position.z,Landmark4Position.x,Landmark4Position.y,Landmark4Position.z,Landmark5Position.x,Landmark5Position.y,Landmark5Position.z,Landmark6Position.x,Landmark6Position.y,Landmark6Position.z,Landmark1Rotation.x,Landmark1Rotation.y,Landmark1Rotation.z,Landmark2Rotation.x,Landmark2Rotation.y,Landmark2Rotation.z,Landmark3Rotation.x,Landmark3Rotation.y,Landmark3Rotation.z,Landmark4Rotation.x,Landmark4Rotation.y,Landmark4Rotation.z,Landmark5Rotation.x,Landmark5Rotation.y,Landmark5Rotation.z,Landmark6Rotation.x,Landmark6Rotation.y,Landmark6Rotation.z,Landmark1State,Landmark2State,Landmark3State,Landmark4State,Landmark5State,Landmark6State
0,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,,,,
1.153321,1,Training,1,Shelves,Shelves,-2.518152,0.378206,-0.3642642,279.4623,270.2444,2.077321E-05,MAX3,MAX1,MIN1,MIN3,MAX2,MIN2,0.4331729,0.9164714,0.632332,-0.009319723,0.903967,0.5210752,0.4305809,0.8885965,0.384323,-0.6923016,0.8894627,0.3919939,-0.3088944,0.9144962,0.6147448,-0.7673271,0.9139302,0.6097139,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighting;,highlighting;,,highlighting;,
1.197765,1,Training,1,Shelves,Shelves,-2.518152,0.378206,-0.3642642,279.4623,270.2444,2.077321E-05,MAX3,MAX1,MIN1,MIN3,MAX2,MIN2,0.4320315,0.9121641,0.634581,-0.009295166,0.8999387,0.5233243,0.4294464,0.884911,0.386572,-0.6904775,0.8857582,0.3942429,-0.3080805,0.9102331,0.6169938,-0.7653053,0.9096797,0.6119629,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighting;,highlighting;,,highlighting;,
1.25332,1,Training,1,Shelves,Shelves,-2.518152,0.378206,-0.3642642,279.4623,270.2444,2.077321E-05,MAX3,MAX1,MIN1,MIN3,MAX2,MIN2,0.4306047,0.90678,0.6373923,-0.009264469,0.8949033,0.5261355,0.4280283,0.8803042,0.3893833,-0.6881973,0.8811275,0.3970541,-0.307063,0.9049041,0.619805,-0.762778,0.9043665,0.6147742,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighting;,highlighting;,,highlighting;,
1.431095,1,Training,1,Shelves,Shelves,-2.518152,0.378206,-0.3642642,279.4623,270.2444,2.077321E-05,MAX3,MAX1,MIN1,MIN3,MAX2,MIN2,0.4263243,0.8767613,0.6482711,-0.009166241,0.87879,0.5351315,0.4234902,0.8655623,0.3983793,-0.6809008,0.8663093,0.4060501,-0.3038072,0.8737661,0.6312847,-0.7546909,0.8728911,0.6263222,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighting;,highlighting;,,highlighting;,
1.542205,1,Training,1,Shelves,Shelves,-2.518152,0.378206,-0.3642642,279.4623,270.2444,2.077321E-05,MAX3,MAX1,MIN1,MIN3,MAX2,MIN2,0.4263243,0.8767613,0.6482711,-0.009123266,0.8579349,0.5415016,0.4206539,0.8563486,0.4040018,-0.6763404,0.8570479,0.4116726,-0.3038072,0.8737661,0.6312847,-0.7546909,0.8728911,0.6263222,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighting;,highlighting;,,highlighting;,
1.59776,1,Training,1,Shelves,Shelves,-2.518152,0.378206,-0.3642642,279.4623,270.2444,2.077321E-05,MAX3,MAX1,MIN1,MIN3,MAX2,MIN2,0.4263243,0.8767613,0.6482711,-0.009123266,0.8579349,0.5415016,0.4192358,0.8517417,0.406813,-0.6740602,0.8524172,0.4144839,-0.3038072,0.8737661,0.6312847,-0.7546909,0.8728911,0.6263222,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighting;,highlighting;,,highlighting;,
1.653315,1,Training,1,Shelves,Shelves,-2.518152,0.378206,-0.3642642,279.4623,270.2444,2.077321E-05,MAX3,MAX1,MIN1,MIN3,MAX2,MIN2,0.4263243,0.8767613,0.6482711,-0.009123266,0.8579349,0.5415016,0.4183849,0.8349202,0.4109785,-0.6731482,0.8361837,0.4181442,-0.3038072,0.8737661,0.6312847,-0.7546909,0.8728911,0.6263222,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighting;,highlighting;,,highlighting;,
1.70887,1,Training,1,Shelves,Shelves,-2.518152,0.378206,-0.3642642,279.4623,270.2444,2.077321E-05,MAX3,MAX1,MIN1,MIN3,MAX2,MIN2,0.4263243,0.8767613,0.6482711,-0.009123266,0.8579349,0.5415016,0.4183849,0.8349202,0.4109785,-0.6731482,0.8361837,0.4181442,-0.3038072,0.8737661,0.6312847,-0.7546909,0.8728911,0.6263222,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighting;,highlighting;,,highlighting;,
1.753314,1,Training,1,Shelves,Shelves,-2.518152,0.378206,-0.3642642,279.4623,270.2444,2.077321E-05,MAX3,MAX1,MIN1,MIN3,MAX2,MIN2,0.4263243,0.8767613,0.6482711,-0.009123266,0.8579349,0.5415016,0.4183849,0.8349202,0.4109785,-0.6731482,0.8361837,0.4181442,-0.3038072,0.8737661,0.6312847,-0.7546909,0.8728911,0.6263222,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighting;,highlighting;,,highlighting;,
1.797758,1,Training,1,Shelves,Shelves,-2.518152,0.378206,-0.3642642,279.4623,270.2444,2.077321E-05,MAX3,MAX1,MIN1,MIN3,MAX2,MIN2,0.4263243,0.8767613,0.6482711,-0.009123266,0.8579349,0.5415016,0.4183849,0.8349202,0.4109785,-0.6731482,0.8361837,0.4181442,-0.3038072,0.8737661,0.6312847,-0.7546909,0.8728911,0.6263222,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighting;,highlighting;,,highlighting;,
