TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Interaction
49.14167,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
49.18612,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
49.21945,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
49.25278,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
49.28612,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
49.31945,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
49.35278,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
49.38612,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
49.41945,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
49.45278,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
49.48612,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
49.51945,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
49.55278,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
64.36373,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Selected
65.20816,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Selected
78.94135,1,Training,0,Shelves,Shelves,TaskBoard,Right Taskboard Show
115.0409,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.0743,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.1076,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.1409,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.1743,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.2076,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.2409,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.2743,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.3076,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.3409,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.3743,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.4076,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.4409,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.4743,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.5187,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.5632,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.5965,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.6298,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.6632,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.6965,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.7409,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.7743,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.8076,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.8409,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.8743,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.9187,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.9632,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
115.9965,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.0298,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.0632,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.0965,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.1298,1,Training,0,Shelves,Shelves,Foot Interaction,Right Foot Press
116.1298,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.1632,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.1965,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.2409,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.2743,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.3076,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.3409,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.3743,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.4076,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.452,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.4854,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.5187,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.552,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.5854,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.6187,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.652,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.6854,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.7187,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.752,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.7854,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.8187,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.852,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.8743,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.9076,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
