TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Landmark1Name,Landmark2Name,Landmark3Name,Landmark4Name,Landmark5Name,Landmark6Name,Landmark1Pos,Landmark2Pos,Landmark3Pos,Landmark4Pos,Landmark5Pos,Landmark6Pos,Landmark1Rot,Landmark2Rot,Landmark3Rot,Landmark4Rot,Landmark5Rot,Landmark6Rot,Landmark1State,Landmark2State,Landmark3State,Landmark4State,Landmark5State,Landmark6State
0,1,Training,0,Shelves,Shelves,,,,
0.02,1,Training,0,Shelves,Shelves,Vis6,Vis2,Vis3,Vis4,Vis5,Vis1,(-0.2749553;0.997562;0.4119627),(-0.1491296;1.033984;0.6185225),(-0.6025389;1.018225;0.5291512),(0.3119192;1.033362;0.6149933),(-0.8774831;0.9806228;0.3158956),(0.8847929;1.00408;0.4489286),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),highlighting;,highlighting;,,highlighting;,,
0.34,1,Training,0,Shelves,Shelves,Vis6,Vis2,Vis3,Vis4,Vis5,Vis1,(-0.2661567;0.9470363;0.4411104),(-0.1443574;0.9767464;0.6476706),(-0.5832576;0.963892;0.5582993),(0.3019376;0.9762386;0.6441414),(-0.8494041;0.9332185;0.3450432),(0.8564793;0.9523528;0.4780762),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),highlighting;,highlighting;,,highlighting;,,
0.44,1,Training,0,Shelves,Shelves,Vis6,Vis2,Vis3,Vis4,Vis5,Vis1,(-0.2634071;0.9312471;0.450219),(-0.1428661;0.9588597;0.6567793),(-0.5772321;0.9469128;0.5674081),(0.2988183;0.9583876;0.6532502),(-0.8406294;0.9184046;0.3541518),(0.8476313;0.936188;0.4871849),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),highlighting;,highlighting;,,highlighting;,,
0.5,1,Training,0,Shelves,Shelves,Vis6,Vis2,Vis3,Vis4,Vis5,Vis1,(-0.2617574;0.9217735;0.4556842),(-0.1419713;0.9481276;0.6622446),(-0.5736169;0.9367252;0.5728734),(0.2969467;0.947677;0.6587154),(-0.8353646;0.9095163;0.359617),(0.8423225;0.9264891;0.4926501),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),highlighting;,highlighting;,,highlighting;,,
0.52,1,Training,0,Shelves,Shelves,Vis6,Vis2,Vis3,Vis4,Vis5,Vis1,(-0.2612075;0.9186156;0.4575059),(-0.1416731;0.9445503;0.6640664),(-0.5724118;0.9333293;0.5746951),(0.2963229;0.9441068;0.6605372),(-0.8336096;0.9065536;0.3614387),(0.8405529;0.9232562;0.4944718),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),highlighting;,highlighting;,,highlighting;,,
0.56,1,Training,0,Shelves,Shelves,Vis6,Vis2,Vis3,Vis4,Vis5,Vis1,(-0.2601076;0.9122999;0.4611494),(-0.1410766;0.9373956;0.6677099),(-0.5700016;0.9265376;0.5783386),(0.2950752;0.9369664;0.6641807),(-0.8300998;0.900628;0.3650822),(0.8370137;0.9167902;0.4981152),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),highlighting;,highlighting;,,highlighting;,,
0.58,1,Training,0,Shelves,Shelves,Vis6,Vis2,Vis3,Vis4,Vis5,Vis1,(-0.2595577;0.9091421;0.4629711),(-0.1407783;0.9338182;0.6695316),(-0.5687965;0.9231418;0.5801604),(0.2944513;0.9333962;0.6660025),(-0.8283448;0.8976653;0.3669039),(0.8352441;0.9135573;0.499937),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),highlighting;,highlighting;,,highlighting;,,
0.62,1,Training,0,Shelves,Shelves,Vis6,Vis2,Vis3,Vis4,Vis5,Vis1,(-0.2584579;0.9028264;0.4666145),(-0.1401818;0.9266635;0.6731752),(-0.5663863;0.9163501;0.5838039),(0.2932036;0.9262558;0.669646),(-0.8248349;0.8917397;0.3705474),(0.8317049;0.9070914;0.5035805),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),highlighting;,highlighting;,,highlighting;,,
0.66,1,Training,0,Shelves,Shelves,Vis6,Vis2,Vis3,Vis4,Vis5,Vis1,(-0.2573581;0.8965107;0.470258),(-0.1395853;0.9195088;0.6768187),(-0.5639762;0.9095584;0.5874474),(0.2919559;0.9191154;0.6732895),(-0.8213251;0.8858142;0.3741908),(0.8281657;0.9006255;0.507224),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),highlighting;,highlighting;,,highlighting;,,
0.68,1,Training,0,Shelves,Shelves,Vis6,Vis2,Vis3,Vis4,Vis5,Vis1,(-0.2568082;0.8933528;0.4720797),(-0.139287;0.9159315;0.6786404),(-0.5627711;0.9061625;0.5892692),(0.2913321;0.9155452;0.6751112),(-0.8195701;0.8828514;0.3760125),(0.826396;0.8973925;0.5090457),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),highlighting;,highlighting;,,highlighting;,,
