TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,WaistPosition.x,WaistPosition.y,WaistPosition.z,WaistEulerAngles.x,WaistEulerAngles.y,WaistEulerAngles.z,LeftShoePosition.x,LeftShoePosition.y,LeftShoePosition.z,LeftShoeEulerAngles.x,LeftShoeEulerAngles.y,LeftShoeEulerAngles.z,RightShoePosition.x,RightShoePosition.y,RightShoePosition.z,RightShoeEulerAngles.x,RightShoeEulerAngles.y,RightShoeEulerAngles.z,LeftGripPressed,LeftTriggerPressed,LeftFootSliding,LeftFootPressed,RightGripPressed,RightTriggerPressed,RightFootSliding,RightFootPressed
0.02,1,Training,0,Shelves,Shelves,-1.910719,0.4793907,-0.3689041,356.1215,269.9938,7.284654,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,-0.175,-0.012,-0.001,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.3533296,1,Training,0,Shelves,Shelves,-1.910719,0.4793907,-0.3689041,356.1215,269.9938,7.284654,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,-0.175,-0.012,-0.001,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.4533285,1,Training,0,Shelves,Shelves,-1.908905,0.479014,-0.369547,356.106,269.9603,7.287547,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000927,0.009801382,-0.7534959,286.8851,323.8026,247.4312,1.251926,0.2363225,-1.748679,318.6057,279.8472,28.16516,False,False,False,False,False,False,False,False
0.5977713,1,Training,0,Shelves,Shelves,-1.907527,0.4789854,-0.3698322,356.1031,269.935,7.292071,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000942,0.009780535,-0.7534916,286.8599,324.0177,247.2238,1.251872,0.2363521,-1.748604,318.6436,279.8156,28.17371,False,False,False,False,False,False,False,False
0.6755483,1,Training,0,Shelves,Shelves,-1.907228,0.4786887,-0.3701959,356.1,269.9222,7.294694,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000946,0.009793195,-0.7534792,286.9106,323.947,247.3124,1.251697,0.2365484,-1.748459,318.9673,279.8742,28.04981,False,False,False,False,False,False,False,False
0.7199922,1,Training,0,Shelves,Shelves,-1.906846,0.4787003,-0.3705322,356.0942,269.9155,7.297335,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000942,0.009825845,-0.7534914,286.9196,323.9337,247.3439,1.251795,0.2364498,-1.748547,318.8324,279.8737,28.07141,False,False,False,False,False,False,False,False
0.7533252,1,Training,0,Shelves,Shelves,-1.906845,0.4786848,-0.3705021,356.0962,269.9097,7.296853,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000921,0.009794938,-0.7534853,286.9029,323.8944,247.3661,1.251832,0.2363974,-1.748567,318.7257,279.7864,28.16613,False,False,False,False,False,False,False,False
0.7977691,1,Training,0,Shelves,Shelves,-1.906737,0.4788856,-0.3704646,356.093,269.9047,7.291451,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000936,0.009797003,-0.7534974,286.902,323.7963,247.4615,1.251893,0.2363444,-1.748631,318.6461,279.8388,28.1517,False,False,False,False,False,False,False,False
0.8422131,1,Training,0,Shelves,Shelves,-1.90663,0.4788561,-0.3706019,356.0944,269.9119,7.298602,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000943,0.009787855,-0.7534847,286.9088,323.9552,247.3071,1.251729,0.2364795,-1.748499,318.9007,279.8292,28.12145,False,False,False,False,False,False,False,False
0.875546,1,Training,0,Shelves,Shelves,-1.906647,0.4787444,-0.3705682,356.0918,269.9016,7.301262,-0.034,0,-0.063,0,0,0,-0.034,0,-0.063,0,0,0,0,0,0,0,0,0,1.000943,0.009793909,-0.7534885,286.8578,323.8979,247.3504,1.251757,0.2364633,-1.748543,318.9147,279.86,28.08877,False,False,False,False,False,False,False,False
