TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,WaistPosition.x,WaistPosition.y,WaistPosition.z,WaistEulerAngles.x,WaistEulerAngles.y,WaistEulerAngles.z,LeftShoePosition.x,LeftShoePosition.y,LeftShoePosition.z,LeftShoeEulerAngles.x,LeftShoeEulerAngles.y,LeftShoeEulerAngles.z,RightShoePosition.x,RightShoePosition.y,RightShoePosition.z,RightShoeEulerAngles.x,RightShoeEulerAngles.y,RightShoeEulerAngles.z,LeftGripPressed,LeftTriggerPressed,LeftFootSliding,LeftFootPressed,RightGripPressed,RightTriggerPressed,RightFootSliding,RightFootPressed
95.88454,14,13,2,Shelves,Shelves,-0.1649656,0.8098383,-0.2104841,333.5172,23.65838,181.0451,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
95.92899,14,13,2,Shelves,Shelves,-0.164968,0.8098378,-0.2104833,333.5175,23.65864,181.0429,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
95.96232,14,13,2,Shelves,Shelves,-0.1649683,0.8098333,-0.2104848,333.5197,23.66354,181.0366,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
95.99565,14,13,2,Shelves,Shelves,-0.1649665,0.809824,-0.210489,333.5249,23.66013,181.0435,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.02898,14,13,2,Shelves,Shelves,-0.1649738,0.809817,-0.2104884,333.5286,23.66105,181.0373,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.06232,14,13,2,Shelves,Shelves,-0.164985,0.809819,-0.2104825,333.5275,23.64843,181.0451,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.10676,14,13,2,Shelves,Shelves,-0.164967,0.8098215,-0.2104896,333.5262,23.66013,181.0433,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.1512,14,13,2,Shelves,Shelves,-0.1649808,0.8098215,-0.2104834,333.5262,23.65125,181.0444,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.19564,14,13,2,Shelves,Shelves,-0.1649753,0.8098106,-0.2104899,333.532,23.65701,181.0421,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.22897,14,13,2,Shelves,Shelves,-0.1649715,0.8098346,-0.2104827,333.5191,23.65736,181.0421,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.26231,14,13,2,Shelves,Shelves,-0.1649799,0.8097905,-0.2104951,333.5427,23.65641,181.0414,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.29564,14,13,2,Shelves,Shelves,-0.1649685,0.8098131,-0.2104921,333.5306,23.66072,181.0423,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.34009,14,13,2,Shelves,Shelves,-0.1649712,0.809815,-0.21049,333.5294,23.66468,181.0346,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
