TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,WaistPosition.x,WaistPosition.y,WaistPosition.z,WaistEulerAngles.x,WaistEulerAngles.y,WaistEulerAngles.z,LeftShoePosition.x,LeftShoePosition.y,LeftShoePosition.z,LeftShoeEulerAngles.x,LeftShoeEulerAngles.y,LeftShoeEulerAngles.z,RightShoePosition.x,RightShoePosition.y,RightShoePosition.z,RightShoeEulerAngles.x,RightShoeEulerAngles.y,RightShoeEulerAngles.z,LeftGripPressed,LeftTriggerPressed,LeftFootSliding,LeftFootPressed,RightGripPressed,RightTriggerPressed,RightFootSliding,RightFootPressed
0.02,1,Training,3,Floor,Body,0.1686078,1.756304,0.1027488,9.97194,159.4075,22.43762,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.3533259,1,Training,3,Floor,Body,0.1686078,1.756304,0.1027488,9.97194,159.4075,22.43762,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.4866563,1,Training,3,Floor,Body,0.01604051,1.586699,0.05811834,49.36877,180.6244,1.824584,-0.078,0,0.348,0,90,0,-0.04740863,0.5736436,-0.3208371,55.12217,173.8794,54.4263,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.6199867,1,Training,3,Floor,Body,-0.0230046,1.416888,-0.08680743,60.91892,199.388,2.132332,-0.078,0,0.348,0,90,0,-0.04684506,0.5588429,-0.3354126,55.13644,173.8906,54.4095,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.7088736,1,Training,3,Floor,Body,-0.02633045,1.377941,-0.1156205,63.3691,201.327,2.304181,-0.078,0,0.348,0,90,0,-0.05358226,0.5723255,-0.3182293,55.81108,173.8742,54.77092,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.7755388,1,Training,3,Floor,Body,-0.03081845,1.3575,-0.1297812,64.62397,203.1493,3.002074,-0.078,0,0.348,0,90,0,-0.04752237,0.5941429,-0.3144381,56.91396,173.1926,53.96102,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.8310931,1,Training,3,Floor,Body,-0.03527676,1.343389,-0.1395327,65.35529,204.9159,3.689781,-0.078,0,0.348,0,90,0,-0.04789048,0.5964367,-0.3140407,56.90734,172.896,53.71347,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.8866475,1,Training,3,Floor,Body,-0.04143469,1.32556,-0.1499623,66.11616,206.7189,4.068855,-0.078,0,0.348,0,90,0,-0.04653862,0.6051451,-0.3137782,56.47764,172.0678,52.76762,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.9422017,1,Training,3,Floor,Body,-0.04693375,1.315475,-0.1562217,65.7104,207.3241,4.003723,-0.078,0,0.348,0,90,0,-0.045819,0.6115405,-0.3135993,56.74653,172.2032,52.95903,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.9977561,1,Training,3,Floor,Body,-0.05159236,1.309361,-0.158163,65.65138,209.0166,5.67078,-0.078,0,0.348,0,90,0,-0.04042541,0.6237321,-0.3042685,55.56061,162.3628,51.06383,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
